TriggerID,GRBName,tmin,tmin_err,tmin_upp_lim,tS_N,tS_N_err,T90,T90_err,tStart,tStop,Xtmin,XtS_N,z
100730463,100730A,2.726,0.989,FALSE,1.241,0.108,63.873,8.776,-25.030,93.749,0.44,0.2,NA
100802240,100802A,3.948,0.414,FALSE,1.476,0.128,28.672,3.167,-16.056,40.977,0.77,0.29,NA
100804104,100804A,0.057,0.031,FALSE,0.039,0.003,6.592,0.771,-2.812,9.953,0.16,0.11,NA
100805300,100805B,0.042,NA,TRUE,0.011,0.001,0.064,0.072,-0.128,-0.001,0.88,0.57,NA
100805845,100805C,0.928,0.076,FALSE,0.310,0.027,58.430,6.426,-1.567,87.231,0.6,0.2,NA
100810049,100810A,0.169,0.069,FALSE,0.110,0.010,2.560,1.741,-3.123,1.971,0.59,0.38,NA
100811108,100811A,0.019,NA,TRUE,0.004,0.001,0.384,0.091,-0.252,0.511,0.53,0.27,NA
100811781,100811B,0.278,0.168,FALSE,0.184,0.016,78.080,3.840,-91.642,63.738,0.49,0.33,NA
100814160,100814A,3.299,NA,TRUE,0.522,0.045,150.530,1.619,-23.817,180.890,0.6,0.14,1.44
100814351,100814B,0.482,0.072,FALSE,0.184,0.016,7.424,0.923,-4.445,10.321,0.31,0.12,NA
100816009,100816B,1.320,NA,TRUE,0.522,0.045,62.401,5.278,-22.266,71.334,0.17,0.16,NA
100816026,100816A,0.333,NA,TRUE,0.039,0.003,2.045,0.229,-1.012,3.068,0.42,0.1,0.8049
100819498,100819A,3.737,NA,TRUE,0.738,0.064,12.544,1.810,-11.075,13.879,0.65,0.28,NA
100820373,100820A,0.056,NA,TRUE,0.016,0.001,8.960,2.187,-5.203,12.627,0.28,0.17,NA
100825287,100825A,0.460,0.055,FALSE,0.184,0.016,3.328,1.846,-2.931,3.709,0.51,0.2,NA
100826957,100826A,0.106,NA,TRUE,0.027,0.002,84.993,0.724,-3.774,120.297,0.14,0.06,NA
100827455,100827A,0.010,NA,TRUE,0.004,0.001,0.576,0.389,-0.416,0.732,0.41,0.37,NA
100829374,100829B,1.116,0.186,FALSE,0.369,0.032,94.977,2.767,-11.729,116.467,0.41,0.14,NA
100829876,100829A,0.043,0.003,FALSE,0.011,0.001,8.704,0.389,-4.214,13.098,0.51,0.14,NA
100831651,100831A,2.380,NA,TRUE,1.476,0.128,40.193,11.986,-23.296,37.078,0.65,0.81,NA
100902990,100902B,2.756,0.302,FALSE,0.738,0.064,22.272,3.338,-15.127,29.171,0.63,0.17,NA
100905907,100905B,1.443,NA,TRUE,0.369,0.032,11.520,1.145,-10.310,11.578,0.49,0.23,NA
100906576,100906A,0.303,NA,TRUE,0.065,0.006,110.594,2.828,-4.127,134.098,0.17,0.11,1.727
100907751,100907A,3.082,NA,TRUE,0.219,0.019,5.376,2.187,-4.205,6.515,1.84,0.29,NA
100910818,100910A,0.064,NA,TRUE,0.011,0.001,13.824,0.724,-5.224,22.001,0.47,0.12,NA
100911816,100911A,0.164,0.060,FALSE,0.110,0.010,5.632,1.999,-3.562,7.678,0.7,0.47,NA
100915243,100915B,1.982,0.354,FALSE,1.043,0.090,7.936,3.367,-11.360,4.480,0.96,0.51,NA
100916779,100916A,0.088,0.008,FALSE,0.039,0.003,12.800,2.111,-4.288,18.880,0.88,0.39,NA
100918863,100918A,2.057,NA,TRUE,0.310,0.027,86.017,8.689,-4.822,134.498,0.34,0.08,NA
